,url,title,time,content
0,https://crossfittheville.wordpress.com/2022/01/24/monday-january-24th/,"Monday,  January 24th",2022-01-24T02:16:27Z,"<p>Push Jerk 4&#215;6@70% 1RM</p>



<p>Bent Side Laterals 4&#215;12</p>



<p>then,</p>



<p>21-15-9:</p>



<p>S2OH (115/75)(Rx+ 135/95)</p>



<p>Calorie Row</p>



<p>Burpees Over Rower</p>



<p>*<em>compare to 4/8/21</em></p>"
1,https://crossfittheville.wordpress.com/2022/01/22/sunday-january-23rd/,"Sunday,  January 23rd",2022-01-22T23:55:00Z,<p>Rest Day.</p>
2,https://crossfittheville.wordpress.com/2022/01/21/saturday-january-22nd/,"Saturday,  January 22nd",2022-01-21T23:55:00Z,<p>Make Up Day.</p>
3,https://crossfittheville.wordpress.com/2022/01/20/friday-january-21st/,"Friday,  January 21st",2022-01-20T23:55:00Z,"<p>Power Snatch 4&#215;6@70%1rm</p>



<p>Overhead Band Pull Aparts 4&#215;12</p>



<p>then,</p>



<p>21-15-9:</p>



<p>Calorie Assault Bike</p>



<p>OHS (115/75)(Rx+ 135/95)</p>



<p>K2E’s</p>



<p>for time.</p>"
4,https://crossfittheville.wordpress.com/2022/01/19/thursday-january-20th/,"Thursday, January 20th",2022-01-19T23:55:00Z,"<p>Skill Practice: D Ball Cleans &amp; HS Walks/Holds </p>



<p>then,</p>



<p>Buy In: 10 D Ball Over the Shoulder Cleans (80/60)(RX+ 150/80)</p>



<p>3 Rounds of: </p>



<p>100ft Bear Crawl (RX+ 50ft Handstand Walk)</p>



<p>14 Pullups (RX+ 7-Bar Muscle Ups)</p>



<p>Cash Out: 10 D Ball Over the Shoulder Cleans</p>



<p>for time.</p>



<p></p>"
5,https://crossfittheville.wordpress.com/2022/01/19/wednesday-january-19th/,"Wednesday,  January 19th",2022-01-19T00:42:32Z,"<p>Russian Twists 3&#215;10/side (20/14)</p>



<p>Stability Ball Planks 3&#215;1:00</p>



<p>SDHP’s 4&#215;6</p>



<p>then,</p>



<p>12:00 AMRAP:</p>



<p>10-Deadlifts (225/155)</p>



<p>10-D Ball Slams (40/20)</p>



<p>10-50ft Shuttle Runs</p>"
6,https://crossfittheville.wordpress.com/2022/01/17/tuesday-january-18th/,"Tuesday, January 18th",2022-01-17T23:55:00Z,"<p>Power Cleans 4&#215;6@70%1RM</p>



<p>Lateral Band Walk 4&#215;6/side</p>



<p>then, </p>



<p>3 Rounds for time of: </p>



<p>10-Squat Cleans (135/95) (rx+ 155/105)</p>



<p>20-Wall Balls (20/14) (rx+ 30/20)</p>



<p>40-Double Unders</p>"
7,https://crossfittheville.wordpress.com/2022/01/16/monday-january-17th/,"Monday, January 17th",2022-01-16T23:55:00Z,"<p>Shoulder Press 5&#215;2@85% 1RM</p>



<p>Barbell Rows 5&#215;4@80%1RM</p>



<p>then, </p>



<p>4 Rounds for time: </p>



<p>15 Calorie Ski Erg</p>



<p>15 Bench Press (135/80)(RX+155/95)</p>



<p>15 KBS&#8217;s (53/35)(70/53)</p>



<p>15 GHD Situps</p>"
8,https://crossfittheville.wordpress.com/2022/01/15/sunday-january-16th/,"Sunday, January 16th",2022-01-15T23:55:00Z,<p>Rest Day.</p>
9,https://crossfittheville.wordpress.com/2022/01/14/saturday-january-15th/,"Saturday, January 15th",2022-01-14T23:55:00Z,<p>Make Up Day.</p>
10,https://crossfittheville.wordpress.com/2022/01/24/monday-january-24th/,"Monday,  January 24th",2022-01-24T02:16:27Z,"<p>Push Jerk 4&#215;6@70% 1RM</p>



<p>Bent Side Laterals 4&#215;12</p>



<p>then,</p>



<p>21-15-9:</p>



<p>S2OH (115/75)(Rx+ 135/95)</p>



<p>Calorie Row</p>



<p>Burpees Over Rower</p>



<p>*<em>compare to 4/8/21</em></p>"
11,https://crossfittheville.wordpress.com/2022/01/22/sunday-january-23rd/,"Sunday,  January 23rd",2022-01-22T23:55:00Z,<p>Rest Day.</p>
12,https://crossfittheville.wordpress.com/2022/01/21/saturday-january-22nd/,"Saturday,  January 22nd",2022-01-21T23:55:00Z,<p>Make Up Day.</p>
13,https://crossfittheville.wordpress.com/2022/01/20/friday-january-21st/,"Friday,  January 21st",2022-01-20T23:55:00Z,"<p>Power Snatch 4&#215;6@70%1rm</p>



<p>Overhead Band Pull Aparts 4&#215;12</p>



<p>then,</p>



<p>21-15-9:</p>



<p>Calorie Assault Bike</p>



<p>OHS (115/75)(Rx+ 135/95)</p>



<p>K2E’s</p>



<p>for time.</p>"
14,https://crossfittheville.wordpress.com/2022/01/19/thursday-january-20th/,"Thursday, January 20th",2022-01-19T23:55:00Z,"<p>Skill Practice: D Ball Cleans &amp; HS Walks/Holds </p>



<p>then,</p>



<p>Buy In: 10 D Ball Over the Shoulder Cleans (80/60)(RX+ 150/80)</p>



<p>3 Rounds of: </p>



<p>100ft Bear Crawl (RX+ 50ft Handstand Walk)</p>



<p>14 Pullups (RX+ 7-Bar Muscle Ups)</p>



<p>Cash Out: 10 D Ball Over the Shoulder Cleans</p>



<p>for time.</p>



<p></p>"
15,https://crossfittheville.wordpress.com/2022/01/19/wednesday-january-19th/,"Wednesday,  January 19th",2022-01-19T00:42:32Z,"<p>Russian Twists 3&#215;10/side (20/14)</p>



<p>Stability Ball Planks 3&#215;1:00</p>



<p>SDHP’s 4&#215;6</p>



<p>then,</p>



<p>12:00 AMRAP:</p>



<p>10-Deadlifts (225/155)</p>



<p>10-D Ball Slams (40/20)</p>



<p>10-50ft Shuttle Runs</p>"
16,https://crossfittheville.wordpress.com/2022/01/17/tuesday-january-18th/,"Tuesday, January 18th",2022-01-17T23:55:00Z,"<p>Power Cleans 4&#215;6@70%1RM</p>



<p>Lateral Band Walk 4&#215;6/side</p>



<p>then, </p>



<p>3 Rounds for time of: </p>



<p>10-Squat Cleans (135/95) (rx+ 155/105)</p>



<p>20-Wall Balls (20/14) (rx+ 30/20)</p>



<p>40-Double Unders</p>"
17,https://crossfittheville.wordpress.com/2022/01/16/monday-january-17th/,"Monday, January 17th",2022-01-16T23:55:00Z,"<p>Shoulder Press 5&#215;2@85% 1RM</p>



<p>Barbell Rows 5&#215;4@80%1RM</p>



<p>then, </p>



<p>4 Rounds for time: </p>



<p>15 Calorie Ski Erg</p>



<p>15 Bench Press (135/80)(RX+155/95)</p>



<p>15 KBS&#8217;s (53/35)(70/53)</p>



<p>15 GHD Situps</p>"
18,https://crossfittheville.wordpress.com/2022/01/15/sunday-january-16th/,"Sunday, January 16th",2022-01-15T23:55:00Z,<p>Rest Day.</p>
19,https://crossfittheville.wordpress.com/2022/01/14/saturday-january-15th/,"Saturday, January 15th",2022-01-14T23:55:00Z,<p>Make Up Day.</p>
20,https://crossfittheville.wordpress.com/2022/01/13/friday-january-14th/,"Friday, January 14th",2022-01-13T23:55:00Z,"<p>Back Squat 5&#215;2@85%1RM</p>



<p>Glute Ham Raise 5&#215;4 weighted if possible</p>



<p>then, </p>



<p>For Time: </p>



<p>100 Calorie Row</p>



<p>100 Situps</p>



<p>50 Burpees</p>



<p>50 Back Squats (135/95)</p>"
21,https://crossfittheville.wordpress.com/2022/01/12/thursday-january-13th/,"Thursday, January 13th",2022-01-12T23:55:00Z,"<p>Push Press 5&#215;2@85% 1RM</p>



<p>Band Pull Aparts 5&#215;10</p>



<p>then, </p>



<p>3 Rounds for time: </p>



<p>15-S2OH (135/95) (rx+ 155/105)</p>



<p>5-Rope Climbs to 15&#8242;</p>



<p>25/20 Calorie Assault Bike</p>"
22,https://crossfittheville.wordpress.com/2022/01/11/wednesday-january-12th/,"Wednesday, January 12th",2022-01-11T23:55:00Z,"<p>Overhead Squats 5&#215;2@85% 1RM</p>



<p>Single Leg Dumbbell RDL&#8217;s 5&#215;4/leg (using 2 DB&#8217;s)</p>



<p>then, </p>



<p>10:00 amrap: </p>



<p>7-Full Snatch (95/65)(RX+115/75)</p>



<p>14-T2B</p>"
23,https://crossfittheville.wordpress.com/2022/01/10/tuesday-january-11th/,"Tuesday, January 11th",2022-01-10T23:55:00Z,"<p>Gy<em>mnastic Day</em></p>



<p>Weighted Strict Ring Dips 10&#215;2</p>



<p>Strict Pullups with :05 Chin Over Bar Hold 10&#215;2</p>



<p>then, </p>



<p>Buy in: 100 Double Unders</p>



<p>4 Rounds of: </p>



<p>12-Ring Dips</p>



<p>10-Pushups</p>



<p>8-CTB Pullups</p>



<p>Cash Out: 100 Double Unders</p>



<p>for time. </p>"
24,https://crossfittheville.wordpress.com/2022/01/09/monday-january-10th/,"Monday, January 10th",2022-01-09T23:55:00Z,"<p>Hollow Rocks 3x:45</p>



<p>Superman Extensions 3&#215;10/side</p>



<p>then, </p>



<p>Deadlifts 5&#215;2@85% 1RM</p>



<p>then, </p>



<p>For time: </p>



<p>10-1 reps: Deadlifts (225/155)</p>



<p>1-10 reps: Burpee Box Jump Overs (24/20)</p>



<p><em>*compare to 10/5/20</em></p>"
25,https://crossfittheville.wordpress.com/2022/01/08/sunday-january-9th/,"Sunday, January 9th",2022-01-08T23:55:00Z,"<p>Rest Day.</p>



<p></p>"
26,https://crossfittheville.wordpress.com/2022/01/07/saturday-january-9th/,"Saturday, January 8th",2022-01-07T23:59:00Z,<p>Make Up Day.</p>
27,https://crossfittheville.wordpress.com/2022/01/06/friday-january-7th/,"Friday, January 7th",2022-01-06T23:55:00Z,"<p><em>Deload Week</em></p>



<p>Front Rack/Squat Mobility </p>



<p>then,</p>



<p>5 rounds for time:</p>



<p>25-Air Squats</p>



<p>20/15-Calorie Assault Bike</p>



<p>20-V Ups</p>



<p>20-Burpees</p>"
28,https://crossfittheville.wordpress.com/2022/01/05/thursday-january-6th/,"Thursday, January 6th",2022-01-05T23:55:00Z,"<p><em>Deload Week</em></p>



<p>Upperbody Mobility</p>



<p>then, </p>



<p>25:00 AMRAP: </p>



<p>10-HSPU&#8217;s</p>



<p>15-Calorie Row</p>



<p>20-Back Extensions</p>



<p>100-Double Arm Rope Waves</p>"
29,https://crossfittheville.wordpress.com/2022/01/04/wednesday-january-5th/,"Wednesday, January 5th",2022-01-04T23:59:00Z,"<p><em>Shortened Deload Week</em></p>



<p>20:00 Lower Body Mobility</p>



<p>then, </p>



<p>5 Rounds for time of: </p>



<p>30-Alternating Step Ups (15/leg, 24/20&#8243;)</p>



<p>20-Med Ball Cleans (20/14#)</p>



<p>1:30 Plank</p>



<p><em>*compare to 4/28/21</em></p>"
30,https://crossfittheville.wordpress.com/2022/01/03/tuesday-january-4th/,"Tuesday, January 4th",2022-01-03T23:55:00Z,"<p>20:00 to establish a max of: </p>



<p>3-Push Jerks + 1-Split Jerk </p>



<p>then, </p>



<p>For time: </p>



<p>500M Ski Erg</p>



<p>100 Double Unders</p>



<p>75 Situps</p>



<p>50 S2OH (75/55)(RX+ 95/65)</p>



<p><em>*compare to 1/14/21</em></p>"
31,https://crossfittheville.wordpress.com/2022/01/02/monday-january-3rd/,"Monday, January 3rd",2022-01-02T23:55:00Z,"<p>20:00 to establish a max of: </p>



<p>1-Power Snatch </p>



<p>1-Hang Squat Snatch </p>



<p>2-OHS&#8217;s</p>



<p><em>*compare to 7/12/21</em></p>



<p>then, </p>



<p>10:00 amrap of: </p>



<p>20-Alternating DB Hang Power Snatch (50/35)</p>



<p>15-Pullups</p>"
32,https://crossfittheville.wordpress.com/2022/01/01/sunday-january-2nd/,"Sunday, January 2nd",2022-01-01T23:55:00Z,<p>Rest Day.</p>
